NO,"NO SURAT MASUK","NOMOR SURAT",TANGGAL,PERIHAL,"TERIMA DARI",ISI,"TANGGAL DITERUSKAN",CATATAN,KATEGORI,"TANGGAL PELAKSANAAN","WAKTU PELAKSANAAN","TEMPAT PELAKSANAAN"
741,1068,030.Jun/2022,421/0197/SMK.AKH/VI/2022,2022-06-16,"Permohonan kunjungan industri","SMK AL-Khoiriyah Boron","Permohonan kunjungan industri",2022/06/16,"Fasilitasi Pak Christian, Pak Budi",KUNJUNGAN,2-Agt-22,9:00,"SOLO TECHNOPARK"
742,1067,029.Jun/2022,591/IKMA.4/IND/VI,2022-06-14,"Kompetisi Startup industry 2022",KEMENPERIN,"Kompetisi Startup industry 2022",2022/06/16,"Pak Christian, Pak Danang, Pak Susilo",UNDANGAN,,,
743,1066,028.Jun/2022,R07.BI.UNS/216/2022,2022-06-15,"Permohonan peminjaman ruanga semianr STP","BANK MANDIRI","Permohonan peminjaman ruanga semianr STP",2022/06/16,"Bagian Umum & keuangan, Mas Susilo, Mas Untung, Mas Danang",PERMOHONAN,2022/06/19,06:00-11:00,STP
744,1065,027.Jun/2022,TM.00/2272/2022,2022-06-14,"Undangan rapat teknis TKKSD tentang perpanjangan kerjasama antara PT Shopee International Indoensia dengan Pemkot SKA","Sekda SKA","Undangan rapat teknis TKKSD tentang perpanjangan kerjasama antara PT Shopee International Indoensia dengan Pemkot SKA",2022/06/16,"Disposisi via WA Pak Susilo",UNDANGAN,2022/06/16,13:00,"Zoom Meeting"
745,1064,026.Jun/2022,198/KRC/VI/2022,2022-06-14,"Undangan Rapat koordinasi peliputan pers untuk persiapan lomba KREANOVA Kota Surakarta","BALITBANGSDA SKA","Undangan Rapat koordinasi peliputan pers untuk persiapan lomba KREANOVA Kota Surakarta",2022/06/14,Arsipkan,UNDANGAN,2022/06/15,13:00,STC
746,1063,025.Jun/2022,1595/KL.03.01/VI/2022,2022-06-13,"Peminjaman Tempat Forum Satu data Kota Surakarta","BAPPEDA SKA","Peminjaman Tempat Forum Satu data Kota Surakarta",2022/06/14,"Fasilitasi Pak Untung, Mas Danang, Mas Oktaf",PERMOHONAN,2022/06/23,8:00,STP
747,1062,025.Jun/2022,B-23Y/DEP.1.1/PK.00.00/VI/2022,2022-06-14,"Undangan bimbingan teknis penumbuhan startup bebasis koperasi di Kota Surakarta","KEMENKOP UKM","Undangan bimbingan teknis penumbuhan startup bebasis koperasi di Kota Surakarta",2022/06/15,"Bagian Inkubasi Mas Danu diminta ikut acara",UNDANGAN,2022/06/17,9:00,"The Royal Surakarta Heritage"
748,1061,024.Jun/2022,421.5/21/SMK-AF/VI/2022,2022-06-13,"permohonan kunjungan industri","SMK AL FAKIRI BANTAUJEG","permohonan kunjungan industri",,,,,,
749,1060,024.Jun/2022,009/STMIK.Y/SKU/VI/2022,2022-06-13,"Permohoonan studi ekserkusi mahasiswa","STMIK YADIKA BANGIL","Permohoonan studi ekserkusi mahasiswa",2022/06/15,"Bagian Pelayanan fasillitasi Mas Christian, Mas Budi",PERMOHONAN,2022/07/22,14:00,
750,1059,023.Jun/2022,,2022-06-10,"Permohonan Ijin kegiatan pada Mandiri Digital Box STP dan Mandiri Digipreneur Hub",MANDIRI,"Permohonan Ijin kegiatan pada Mandiri Digital Box STP dan Mandiri Digipreneur Hub",2022/06/13,"Fasilitasi Pak Untung, Mas Danang, Mas Oktaf",PERMOHONAN,,,
751,1058,022.Jun/2022,040/SMK.WS/PRAKERIND/VI/2022,2022-06-07,"Penarikan SIswa Prakerind","SMK WALISONGO KALIORI REMBANG","Penarikan SIswa Prakerind",2022/06/10,"Pak Christian, Pak Budi",PERMOHONAN,,,
752,1057,021.Jun/2022,005/290,2022-06-07,"Pelatihan Animasi 3D bagi startup digital","DINAS PERINDUSTRIAN DAN PERDAGANGAN","Pelatihan Animasi 3D bagi startup digital",2022/06/09,"DIhadiri 1 orang di STP Pak Susilo, Pak Danang",UNDANGAN,"20-Jun-24-Jun 2022",8:00,"Hotel GETS"
753,1056,020.Jun/2022,KT.00/1567,2022-06-08,"Ralat Undangan","Dinas Tenaga Kerja PEMKOT SURAKARTA","Ralat Undangan",2022/06/08,"Bagian PP - Pak Christian Hadiri",UNDANGAN,2022/06/09,13:30,"Ruang royal jasmine Almarelo Hotel"
754,1055,019.Jun/2022,1520/Ku.00.01/VI/2022,2022-06-07,"Undangan Rapat Sosialisasi Pengisian RENJA perubahan tahun 2022 melalui aplikasi SIPPD","Badan Perencanaan Pembangunan Daerah K07 Surakarta","Undangan Rapat Sosialisasi Pengisian RENJA perubahan tahun 2022 melalui aplikasi SIPPD",2022/06/08,"Bagian Keuangan Bu Susi, Mas Agus, Surat terlambat karena srikandi Error",UNDANGAN,,,
755,1054,018.Jun/2022,191/005/VI/2022,2022-06-07,"Rapat pembahasan progres pendaftaran lomba KREANOVA tahun 2022 & Langkah percepatan peningkatan partisipasi pelajar& masyarakat","BAPPEDA SKA","Rapat pembahasan progres pendaftaran lomba KREANOVA tahun 2022 & Langkah percepatan peningkatan partisipasi pelajar& masyarakat",2022/06/08,"Sudah Dihadiri",UNDANGAN,2022/06/08,13:00,"Ruang rapat Bappeda"
756,1053,017.jun/2022,,,"Kunjungan Studi dari MAN 2 Majalengka","MAN 2 Majalengka","Kunjungan Studi dari MAN 2 Majalengka",2022/06/08,"Bagian Pelayanan, Pak Christian Pak Budi",PERMOHONAN,2022/06/21,8:00,"Solo Techno Park"
757,1052,016.Jun/2022,,,Undangan,"DINAS TENAGA KERJA","Undangan FGD Raperda Ketenagakerjaan",,,,,,
758,1051,015.Jun/2022,232/OD.03.01,2022-06-07,"Undangan raker pansus Raperda tentang Fasilitas Penyelenggaraan pesantren","DPRD Kota Surakarta","Undangan raker pansus Raperda tentang Fasilitas Penyelenggaraan pesantren",2022/06/07,"Pak Yudit",UNDANGAN,2022/06/09,13:00,"Ruang Banggar DPRD"
759,1050,014.Jun/2022,21/Greet-RS/VI/2022,2022-06-02,"Penawaran Iklan Greeting HUT pemkot Solo ke-76","JAWAPOS RADAR SOLO","Penawaran Iklan Greeting HUT pemkot Solo ke-76",2022/06/07,"Bagian Umum Pak Untung, Pak oktaf",EDARAN,,,
760,1049,013.Jun/2022,,,"Persyaratan penagihan untuk grup Gojek, Goto financialdam entitas Goto lainnya di Indonesia",GOTO,"Persyaratan penagihan untuk grup Gojek, Goto financialdam entitas Goto lainnya di Indonesia",2022/06/07,Arsipkan,EDARAN,,,
761,1048,012.Jun/2022,2098/BSSN/P3/DL/07.01/06/2022,2022-06-03,"Rencana penyelenggaraan pelatihan BORN TO DEFENSE T.A 2022",BSSN,"Rencana penyelenggaraan pelatihan BORN TO DEFENSE T.A 2022",2022/06/06,"Bagain Keuangan, Mas Susilo, Mas Richard. Bagian Umum , Mas Danang",EDARAN,,,
762,1047,011.Jun/2022,KU.00.00/2088/2022,2022-06-02,"Pedoman penyusunan RKPD Kota Surakarta tahun anggaran 2022, KUPA - PPAS tahun anggaran 2022 dan KUA-PPAS tahun anggaran 2023","Walikota Surakarta","Pedoman penyusunan RKPD Kota Surakarta tahun anggaran 2022, KUPA - PPAS tahun anggaran 2022 dan KUA-PPAS tahun anggaran 2023",2022/06/06,"Bagian Keuangan, Bu Susi, Mas Agus",PEMBERITAHUAN,,,
763,1046,010.Jun/2022,KM.10/2082/DT/2022,2022-06-03,"Undangan sosialisasi penataan PKL di Dewantara Kota SurakartaJ","DInas Perdagangan","Undangan sosialisasi penataan PKL di Dewantara Kota SurakartaJ",2022/06/06,Arsipkan,UNDANGAN,2022/06/06,9:00,"Ruang rapat STP"
764,1045,009.Jun/2022,DG.00/2091/VI/2022,2022-06-03,"Peminjaman tempat untuk sosialisasi pedagang","Dinas Perdagangan","Peminjaman tempat untuk sosialisasi pedagang",2022/06/03,Arsipkan,PERMOHONAN,2022/06/06,09:00-11:00,STP
765,1044,008.Jun/2022,132/SMK.A/Col/He/I/2022,0000-00-00,"Permohonan PKL","SMK Adi Sumarmo","Permohonan PKL",2022/06/03,"Bagian Pelayanan, Mas Christian Mas Budi",PERMOHONAN,"20-Juni 2022 s/d 20-Agustus 2022",,STP
766,1043,007.Jun/2022,344.02/A.2/DSM/U/2022,2022-06-02,"Permohonan izin peminjaman ruangan Solo Techno Park","DESA MIND","Permohonan izin peminjaman ruangan Solo Techno Park",2022/06/03,Arsipka,PERMOHONAN,,,STP
767,1042,006.Jun/2022,B/63/VI/KEP./202,2022-06-02,"Pemberitahuan kunjungan kerja","DIRDAMOBUIT POLDA JATENG","Pemberitahuan kunjungan kerja",2022/06/02,"Bagian Umum Arsipkan sudah dilakukan, Mbak Ani",PEMBERITAHUAN,,,STP
768,1041,005.Jun/2022,NO.215/ppc51210/2022-58,2022-06-02,"Pendaftaran calon peserta pelatihan dan sertifikasi operator pesawat tenaga produksi (K3 operator tanur kelas 1 ) secara offline","PT PERTAMINA EP CEPU","Pendaftaran calon peserta pelatihan dan sertifikasi operator pesawat tenaga produksi (K3 operator tanur kelas 1 ) secara offline",2022/06/02,"Bagian Pelayanan, Mas Christian Mas Budi",PERMOHONAN,,,STP
769,1040,004.Jun/2022,HB.00/1989/V/2022,0000-00-00,"Persetujuan pemindahan halte",DISHUB,"Persetujuan pemindahan halte",2022/06/02,"Bagian Umum Arsipkan sudah dilakukan",,,,STP
770,1039,003.Jun/2022,71/IV.4.AU/A/2022,2022-06-02,"Permohonan ijin kunjungan industri","SMK Muhammadiyah Potren Imam Syuhodo","Permohonan ijin kunjungan industri",2022/06/02,"Bagian Pelayanan, Mas Christian Mas Budi",PERMOHONAN,2022/06/14,,STP
771,1038,002.Jun/2022,420/328,0000-00-00,"Permohonan PKL siswa SMKN 2 Sragen","SMKN 2 Sragen","Permohonan PKL siswa SMKN 2 Sragen",2022/06/02,"Bagian Pelayanan, Mas Christian Mas Budi",PERMOHONAN,,,STP
772,1037,001.Jun/2022,132/SMK.A/COl/H.e/I/2022,0000-00-00,"Permohonan PKL","SMK Adi Sumarmo","Permohonan PKL",2022/06/02,"Bagian Pelayanan, Mas Christian Mas Budi",PERMOHONAN,,,STP
773,1036,040.May/2022,183/005/V/2022,0000-00-00,"Undangan Rapat Pembahasan Kajian Pembangunan Solo Islamic Center","Balitbangsda Surakarta","Undangan Rapat Pembahasan Kajian Pembangunan Solo Islamic Center",31-May-22,,UNDANGAN,2022/06/03,8:30,"Balitbangsda Surakarta"
774,1035,039.May/2022,KI/2035/2022,0000-00-00,"Pelatihan Digital SMA (Social Media Analisis)","Setda Ska","Pelatihan Digital SMA (Social Media Analisis)",31-May-22,,PELATIHAN,"6-10 Juni 22",08.00-16.00,"SMPN 13 SKA"
775,1034,038.May/2022,K1/2035/2022,0000-00-00,"Pelatihan digital CSE (Cyber security Essential)","Sekda Surakarta","Pelatihan Digital Cyber Security Essentals",31-May-22,"Bagian Pelayanan + IT Pak Christian Pak Eko",UNDANGAN,"6-10 Juni 22",,
776,1033,037.May/2022,B.01/D.2/PBK/HL.01.01/05/2022,0000-00-00,Kunjungan,Komensatneg,"kunjungan Knokleder Sharing dan FGD ke Prov. Jateng",31-May-22,,KUNJUNGAN,2022/06/02,09.00,
777,1032,036.May/2022,2464/E2.1/TI.00.01/2022,0000-00-00,"Undangan peserta workship dan finalisasi PKS","Kemendikbud ristek","Undangan peserta workship dan finalisasi PKS",27-May-22,"Bagian HRD, dibuatkan surat",UNDANGAN,"30-31 Mei 22",13.30,"Best Western Premiere"
778,1031,035.May/2022,B/2645/BCKJI/BBSPJIBBT/MS/V/2022,0000-00-00,"Permohonan iin pengambilan video dokumetasi kegiatan layanan BBSPJI BBt",Kemenperin,"Permohonan iin pengambilan video dokumetasi kegiatan layanan BBSPJI BBt",25-May-22,Diijinkan,PERMOHONAN,27-May-22,07.00,STP
779,1030,034.May/2022,001/FIM/V/2022,0000-00-00,"Surat pemberitahuan","PT. Filemon Inti Machinery","Surap pemberitahuan",24-May-22,"Bagian umum",PEMBERITAHUAN,,,
780,1029,033.May/2022,-,0000-00-00,"Kunjungan studi","SMKN 4 Tasumalaya","Kunujungan suty senin, 13 Juni 22",24-May-22,"Fasilitas, Atur jadwal",KUNJUNGAN,2022/06/13,08.00,STP
781,1028,032.May/2022,PG.00/1964/2022,0000-00-00,"Undangan pelaporan pelaksanaan P3DN melalui aplikasi SIERA","Setda Ska","Undangan pelaporan pelaksanaan P3DN melalui aplikasi SIERA",23-May-22,"Bagian keuangan -Bu Susi -Mas Agus",UNDANGAN,24-May-22,13.00,Zoom
782,1027,031.May/2022,BP.00/1812/2022,0000-00-00,"Undangan sosialisasi informasi pemerintah daerah dalam tahapan perencanaan kota surakarta","Setda Ska","Undangan sosialisasi informasi pemerintah daerah dalam tahapan perencanaan kota surakarta",25-May-22,"Bagian keuangan -Bu Susi -Mas Agus",UNDANGAN,2022/06/02,09.00,"Alila Solo"
783,1026,030.May/2022,518/SMK.AL-2/B/V/2022,0000-00-00,"Permohonan Kunjungan","SMK Adi Luhur 2 Jakarta","Permohonan Kunjungan (140 orang)",23-May-22,,PERMOHONAN,2022/06/24,08.30-10.30,
784,1025,029.May/2022,300/1.03/SMK.M2/V/2022,0000-00-00,"Permohonan Siswa Siswi PKL","SMK MUH. 2 JATINOM","Permohonan Siswa Siswi PKL",23-May-22,,PERMOHONAN,,,
785,1024,028.May/2022,TM.00.07/134/V/2022,0000-00-00,"Undangan Desk teknis SPJ melalui FMIS","BPKAD Ska","Undangan Desk teknis SPJ melalui FMIS",23-May-22,"Bagian Keuangan - Bu Susi - Mas Agus",UNDANGAN,"23-24 Mei 22",09.00,BPKAD
786,1023,027.May/2022,B/516/BPSDMI/AKOM-Surakarta/RT/V/2022,0000-00-00,"Permohonan bantuan petugas keamanan","AK tekstik & Produk tekstil solo","Permohonan bantuan petugas keamanan",23-May-22,"Bagian umum - Pak Untung - Pak Danung",PERMOHONAN,"23-25 Mei 22",,
787,1022,026.May/2022,B/932/KI/V/2022,0000-00-00,"Undangan desk smark city (review perkembangan smart city kota ska)","Diskominfo SP kota Ska","Undangan desk smark city (review perkembangan smart city kota ska)",23-May-22,"Disposisi via wa -> Mas Danu Hadiri",UNDANGAN,,,
788,1021,025.May/2022,19/SMK.MS/XII/2022,0000-00-00,"Permohonan Izin/Dispensasi Kunjungan Industri Siswa/I SMK","SMK MUTIARA SALAKILI","Permohonan Izin/Dispensasi Kunjungan Industri Siswa/I SMK",23-May-22,,PERMOHONAN,2022/06/27,10.00,
789,1020,024.May/2022,039/SP/Pra-TK-TK/Lazkom/V/2022,0000-00-00,"Surat permohonan wisuda dan akhirusanah XX","Lazuardi kamila","Surat permohonan wisuda dan akhirusanah XX",20-May-22,"Bagian kerjasama - Mas Susilo -Mas Danny",PERMOHONAN,2022/06/18,"07.30 - 13.00",
790,1019,023.May/2022,"B/ /052022",0000-00-00,"Tand terima bukti kesepakatan bukan penerimaan upah","BPJS ketenagakerjaan","Tanda terima bukti kesepakatan bukan penerimaan upah",20-May-22,"Regu MSIB - Mas Dany - Mas Rizky","TANDA TERMIA",,,
791,1018,022.May/2022,1295/PE.05.01/IV/2022,0000-00-00,"Undangan rakor tim pengembangan ekonomi lokal / KEDEP bidang riset dan pengembangan teknologi informasi dan komunikasi","Bappeda Ska","Undangan rakor tim pengembangan ekonomi lokal / KEDEP bidang riset dan pengembangan teknologi informasi dan komunikasi",19-May-22,"Disposisi via kia -> pak susilo hadiri -Bapak Yudit",UNDANGAN,23-May-22,13.00,"Bappeda Ska"
792,1017,021.May/2022,013/C11-03/2022,0000-00-00,"SITE memo permintaan pengecekan elevasi dan design lt. pedestrian & fountain","Colliers Shopee","SITE memo permintaan pengecekan elevasi dan design lt. pedestrian & fountain",18-May-22,"Bagian umum -Pan Dany - Pak Untung",MEMO,,,
793,1016,020.May/2022,014/C11-03/2022,0000-00-00,"SITE memo layout posisi gate","Colliers Shopee","SITE memo layout posisi gate",18-May-22,"Bagian umum -Pan Dany - Pak Untung",MEMO,,,
794,1015,019.May/2022,422.1/56/SMKN7BD/CADISDIKWILL.VII,0000-00-00,"Permohonan Kunjungan Industri","SMKN 7 BALEENDAH","Permohonan Kunjungan Industri (120 orang)",18-May-22,,PERMOHONAN,30-May-22,09.00,
795,1014,018.May/2022,KM.08.92/1356,0000-00-00,"Permohonan fasilitasi tempat pelaksanaan rekutmen","Dinas Tenaga Kerja","Permohonan fasilitasi tempat pelaksanaan rekutmen",17-May-22,"Bagian Umum -Pak Untuk - Mas Danang",PERMOHONAN,"19-20 Mei 22",08.30,
796,1013,0.17.May/2022,R07.BR.UNS/1B9/2022,0000-00-00,"Undangan peresmian mandiri digital boy solo technopark","Bank Mandiri","Undangan peresmian mandiri digital boy solo technopark",17-May-22,Arsipkan,UNDANGAN,12-May-22,"09.00 - 10.00",
797,1012,016.May/2022,168/,0000-00-00,"Permohonan Outdoor Study","SMKN 7 Yogyakarta","Permohonan Outdoor Study (149 orang)",17-May-22,,PERMOHONAN,31-May-22,09.00,
798,1011,0.15.May/2022,833/A.1/2022,2022-04-27,"Undangan investment forum",KEMENINVEST,"Undangan investment forum",17-May-22,"Pak Agustian, Bu Susi",UNDANGAN,18-May-22,09.00,"Hotel Atila Solo"
799,1010,014.May/2022,SRT.0227/SKKM17000/2022/50,0000-00-00,"Undangan penandatanganan nota kesepakatan antara skk migas dengna pemkab kutai kartanegara dan kunjungan ke fasilitas pelatihan STP","SKK Migas","Undangan penandatanganan nota kesepakatan antara skk migas dengna pemkab kutai kartanegara dan kunjungan ke fasilitas pelatihan STP",17-May-22,"-Pak Agustian, Bu Susi, Mas Susilo, Mas Dani, Mas Rizky",UNDANGAN,20-May-22,07.00,STP
800,1009,013.May/2022,"06/KKL/Teknik Mesin/II/2022",2022-04-18,"Permohonan Izin KKL 2022",UNNES,"Permohonan Izin KKL 2022, 238 orang",13-May-22,Arsipkan,PERMOHONAN,31-May-22,13.00,
801,1008,012.May/2022,420/002/2022,0000-00-00,"Permohonan praktek kerja lapangan (PKL)","SMKN 2 Ska","Permohonan praktek kerja lapangan (PKL)",13-May-22,"Bagian PP Fasilitas -Mas Chandra -Mas Budi",PERMOHONAN,,,
802,1007,011.Mayy/2022,RR.05/1714/2022,0000-00-00,"Surat edaran tentang inventarisasi penyusunan sk kepala perangkat daerah tentang struktur pengelola resiko OPD di lingkungan pemkot ska tahun 2022","Setda ska","Surat edaran tentang inventarisasi penyusunan sk kepala perangkat daerah tentang struktur pengelola resiko OPD di lingkungan pemkot ska tahun 2022",13-May-22,"Bu Susi",EDARAN,,,
803,1006,010.May/2022,PG.00/1755/2022,0000-00-00,"Undangan rakor MONEV pengadaan barang/jasa","Setdad Ska","Undangan rakor MONEV pengadaan barang/jasa",13-May-22,"Bagian keuangan -Bu Susi, Pak Agus",UNDANGAN,18-May-22,"09.00 - 11.00",Balaikota
804,1005,009.May/2022,KM.08.072/1310,0000-00-00,"Permohonan fasilitas tempat untuk pelaksanaan rekrutmen tenaga kerja","Dinas Tenaga Kerja","Permohonan fasilitas tempat untuk pelaksanaan rekrutmen tenaga kerja",13-Mai-22,Fasilitass,PErMOHONAN,"12-13 Mei 22",08.30,
805,1004,008.May/2022,PG.00/1755/2022,0000-00-00,"Undangan rakor MONEV pengadaan barang/jasa","Setda Ska","Undangan rakor MONEV pengadaan barang/jasa",13-May-22,"Bagian keuangan -Bu Susi, Pak Agus",UNDANGAN,18-May-22,"09.00 - 11.00",Balaikota
806,1003,007.May/2022,KM.08.072/1310,0000-00-00,"Permohonan fasilitas tempat untuk pelaksanaan rekrutmen tenaga kerja","Dinas Tenaga Kerja","Permohonan fasilitas tempat untuk pelaksanaan rekrutmen tenaga kerja",13-May-22,Fasilitas,PERMOHONAN,"12-13 Mei 22",08.30,
807,1002,006.May/2022,528/UN2704.9.3/ICD/B/IV/2022,0000-00-00,"Permohonan ijin magang","FEB UNS","Permohonan ijin magang",13-May-22,"Fasilitas, Mas chandra, Mas Budi",PERMOHONAN,,,
808,1001,005.May/2022,R07.BR.UNS/142/2022,0000-00-00,"Permohonan ijin kegiatan dan peminjaman perlengkapan","Bank Mandiri","Permohonan ijin kegiatan dan peminjaman perlengkapan",13-May-22,Fasilitas,PERMOHONAN,,,
809,1000,004.May/2022,TM.00.07/119/V/2022,0000-00-00,"Undangan FGD strategi pendayagunaan aset daerah pemkot ska","BPKAD ska","Undangan FGD strategi pendayagunaan aset daerah pemkot ska",13-May-22,Arsipkan,UNDANGAN,11-May-22,09.00,"Hotel Sunan SOLO"
810,999,003.May/2022,B/843/KI/IV/2022,2022-04-28,"Undangan rakor tendak lanjut kerjasama BSSN dan pemkot ska","Diskominfo SP","Undangan rakor tendak lanjut kerjasama BSSN dan pemkot ska",09-May-22,"Bagian kerjasama",UNDANGAN,10-May-22,,Zoom
811,998,002.May/2022,PU.08/2049/IV/2022,2022-04-28,"Jawaban permohonan penyesuaian level pedestilan dan check PIR di kawasan UPT STP","Dinas PUPR SKA","Jawaban permohonan penyesuaian level pedestilan dan check PIR di kawasan UPT STP",09-May-22,"Bagian umum",JAWABAN,,,STP
812,997,001.May/2022,KM.10/950,2022-04-28,"Undangan sosiallisasi penataan PKL di jalan Ki Hajar Dewantara","Satpol PP","Undangan sosiallisasi penataan PKL di jalan Ki Hajar Dewantara",2022/04/09,"Tolong disiapkan tempat mas danang, Tolong disiapkan konsumsi bu susi",UNDANGAN,11-May-22,09.00,STP
813,996,046.Apr/2022,172/005/IV/2022,2022-04-28,"Undangan perencanaan kegiatan dan evaluasi pelaksanaan kegiatan triwulan I pada Balitbangda SKa","Balitbangda Ska","Undangan perencanaan kegiatan dan evaluasi pelaksanaan kegiatan triwulan I pada Balitbangda SKa",2022/04/29,"Sudah dihadiri",UNDANGAN,09-May-22,09.00,"Balitbangda ska"
814,995,045.Apr/2022,PD.00.01/1650/2022,2022-04-27,"Undangan pendampingan finalisasi penyusunan kajian akademik pembentukan UPT di Lingkungan Pemkot SKA",SetdaSKA,"Undangan pendampingan finalisasi penyusunan kajian akademik pembentukan UPT di Lingkungan Pemkot SKA",2022/04/28,"Bagian HRD Bu Lusi",UNDANGAN,10-May-22,"07.30 - 16.00","The Sunnan Hotel"
815,994,044.Apr/2022,B/4M.00.01/849/DPD/.3/2022,2022-04-25,"Undangan Menghadapi Kegiatan Kelana Ramadhan di Kota Surakarta",KEMENPAREKRAF,"Undangan Menghadapi Kegiatan Kelana Ramadhan di Kota Surakarta",2022/04/28,"Mas Danu Hadiri",UNDANGAN,2022/04/29,12:30,"Canting Londo Kitchen"
816,993,043.Apr/2022,,2022-04-21,"Surat Pemberitahuan","Shopee Xpress","Surat Pemberitahuan",2022/04/28,"Bagian Umum Pak Untung, Mas Danang",EDARAN,,,
817,992,042.Apr/2022,047/5/Waskita/IV/2022,2022-04-27,"Permohonan peminjaman tempat","Waskita Biro konsultan psikolog","Permohonan peminjaman tempat",2022/04/28,"Bagian Umum Pak Untung, Mas Danang",PERMOHONAN,28-May-22,14:00-17:00,"Ruang Seminar"
818,991,041.Apr/2022,171/005/IV/2022,2022-04-27,"Undangan pembuaan dokumen prakulaifikasi pekerjaan pembangunan gedung pelatihan dan inkubasi startup teknologi di sebagian tanah hak pakai no.105 Kel.Jebres Kec.Jebres Kota Surakrta","Balitbangsda Surakarta","Undangan pembuaan dokumen prakulaifikasi pekerjaan pembangunan gedung pelatihan dan inkubasi startup teknologi di sebagian tanah hak pakai no.105 Kel.Jebres Kec.Jebres Kota Surakrta",2022/04/27,Hadiri,UNDANGAN,,,
819,990,040.Apr/2022,420/001/2022,2022-04-26,"Permohonan Praktek kerja industri","SMKN 2 Surakarta","Permohonan Praktek kerja industri",2022/04/27,"Pak Christian, Pak Budi Fasilitasi",PERMOHONAN,,,
820,989,039.Apr/2022,Ka.06/1630/2022,2022-04-26,"Surat edaran tentang penyematan arsip perangkat daerah pasca penggabungan atau pembubraran organisasi di lingkungan pemkot Surakarta","SEKDA Surakarta","Surat edaran tentang penyematan arsip perangkat daerah pasca penggabungan atau pembubraran organisasi di lingkungan pemkot Surakarta",2022/04/27,"Bu Susi, Pak Budi, Mas Agus",,,,
821,988,038.Apr/2022,KA.00.00/414/2022,2022-04-26,"Surat Pengantar dokumen pedoman penyusunan monitoring dan evaluasi peta proses bisnis dan SOP di Lingkungan pemkot surakrta tahun 2021-2026","SEKDA Surakarta","Surat Pengantar dokumen pedoman penyusunan monitoring dan evaluasi peta proses bisnis dan SOP di Lingkungan pemkot surakrta tahun 2021-2026",2022/04/27,"Mas Lusi",EDARAN,,,
822,987,037.Apr/2022,"421.5/ /101.6.15.20/2022",2022-04-25,"Permohonan penambahan jumlah peserta","SMKN 1 Tanjunganom Nganjuk","Permohonan penambahan jumlah peserta",2022/04/25,"Pak Christian, Mas Budi",PERMOHONAN,19-May-22,9:00,"Aula STP"
823,986,036.Apr/2022,TM.07.00/2096,2022-04-12,"Undangan rakor tentang persiapan pembuatan booklet dan leaflet potensi dan peluang investasi Kota Surakarta tahun 20022 beserta data pendukungnya","DPMPTSP Surakarta","Undangan rakor tentang persiapan pembuatan booklet dan leaflet potensi dan peluang investasi Kota Surakarta tahun 20022 beserta data pendukungnya",2022/04/25,"Bu Susi, Mas Agus",UNDANGAN,2022/04/28,9:00,"DPMPTSP SKA"
824,985,035.Apr/2022,059/D/POLHAS/IV/2022,2022-04-25,"Permohonan kerjasama bidang Tri Dharma Perguruan Tinggi","Politeknik Harapan Bangsa Surakarta","Permohonan kerjasama bidang Tri Dharma Perguruan Tinggi",2022/04/25,"Mas Susilo follow up rumusan kegiatan",PERMOHONAN,,,
825,984,034.Apr/2022,6682/SMPKKK/IV/2022,2022-04-22,"Permohonan Kunjungan","SMP Kristen Kalam Kudus","Permohonan Kunjungan",2022/04/25,"Mas Christian, Mas Budi fasilitasi",PERMOHONAN,19-May-22,,
826,983,033.Apr/2022,013/RT/YAI-SP/IV/2022,2022-04-22,"Kunjungan ke STP","Yayasan Internet Indonesia","Kunjungan ke STP",2022/04/25,"Sudah menemui Mas Christian, Mas Susilo, Mas Dicky. Siapkan snack Bu Susi",PERMOHONAN,,,
827,982,032.Apr/2022,PM.04.02/72/IV/2022,2022-04-21,"Nota Dinas laporan hasil rapat koordinasi persiapan penyelenggaraan kegiatan investment forum dan pertemuan kedua Trade, Investment and Industry Working Group (TIIWG) Presidensi G20 Indonesia tahun 2022","SEKDA Surakarta","Nota Dinas laporan hasil rapat koordinasi persiapan penyelenggaraan kegiatan investment forum dan pertemuan kedua Trade, Investment and Industry Working Group (TIIWG) Presidensi G20 Indonesia tahun 2022",2022/04/22,"Mas Christian dan Mas Danu pilih startup yang dilarang",EDARAN,,,
828,981,031.Apr/2022,,2022-04-18,"Permohonan penyelenggaraan kegiatan workshop content creator","Bank Mandiri","Permohonan penyelenggaraan kegiatan workshop content creator",2022/04/22,"Fasilitasi Mas Danang, Pak Untung",PERMOHONAN,2022/04/26,13:00-19:00,"Ruang Seminar STP"
829,980,030.Apr/2022,R07.Br.UNS/III/2022,2022-04-18,"Permohonan penjurian keg.workshop content creatur","Bank Mandiri","Permohonan penjurian keg.workshop content creatur",2022/04/22,,PERMOHONAN,2022/04/26,17.00-18.30,"Ruang Seminar STP"
830,979,029.Apr/2022,KM.10/872,2022-04-21,"Undangan Rakor rencana penerbitan pedagang kaki lima (PKL) di depan STP jalan KH.Dewantara Jebres","Satpol PP","Undangan Rakor rencana penerbitan pedagang kaki lima (PKL) di depan STP jalan KH.Dewantara Jebres",2022/04/22,"Pak Christian, Pak Untung, Bu Susi telah hadiri",UNDANGAN,,,
